Uuid,Same as mappings,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
,,,JIB_ANC Visit 1,Visit 1,,Misc,N/A,,,,,,,,,,,
,,,JIB_ANC Visit 2,Visit 2,,Misc,N/A,,,,,,,,,,,
,,,JIB_ANC Visit 3,Visit 3,,Misc,N/A,,,,,,,,,,,
,,,JIB_ANC Visit 4,Visit 4,,Misc,N/A,,,,,,,,,,,
,,,JIB_ANC Visit Number,Visit Number,,Question,Coded,,JIB_ANC Visit 1; JIB_ANC Visit 2; JIB_ANC Visit 3; JIB_ANC Visit 4,,,,,,,,,
,,,JIB_Gestation,Gestation,,Question,Numeric,,,,,Weeks,,,,,,
,,,JIB_Cough With Sputum More Than 3 Weeks,cough with sputum >3 weeks,,Misc,N/A,,,,,,,,,,,
,,,JIB_Signs of Anaemia,signs of anaemia,,Misc,N/A,,,,,,,,,,,
,,,JIB_Fever,fever,,Misc,N/A,,,,,,,,,,,
,,,JIB_Vaginal Bleeding,vaginal bleeding,,Misc,N/A,,,,,,,,,,,
,,,JIB_ANC_Symptoms,Symptoms,,Question,Coded,,JIB_Vaginal Bleeding; JIB_Fever; JIB_Cough With Sputum More Than 3 Weeks; JIB_Signs of Anaemia,,,,,,,,,
,,,JIB_Stomach_Diameter,Stomach Diameter (cm),,Question,Numeric,,,,TRUE,,,,0,,,
,,,JIB_Height Of Uterus,Height of Uterus,,Question,Numeric,,,,,,,,,,,
,,,JIB_Head,Head,,Misc,N/A,,,,,,,,,,,
,,,JIB_Breech,Breech,,Misc,N/A,,,,,,,,,,,
,,,JIB_Shoulder,Shoulder,,Misc,N/A,,,,,,,,,,,
,,,JIB_Presenting Part,Presenting Part,,Question,Coded,,JIB_Head; JIB_Breech; JIB_Shoulder,,,,,,,,,
,,,JIB_Other ANC Problems,Other Problems,,Question,Text,,,,,,,,,,,
,,,JIB_Prenatal Care,Prenatal Care,,Misc,N/A,,,,,,,,,,,
,,,JIB_Prevention,Prevention,,Misc,N/A,,,,,,,,,,,
,,,JIB_Dangerous signs,Dangerous Signs,,Misc,N/A,,,,,,,,,,,
,,,JIB_Delivery planning,Delivery Planning,,Misc,N/A,,,,,,,,,,,
,,,JIB_Breast Feeding,Breast Feeding,,Misc,N/A,,,,,,,,,,,
,,,JIB_Newborn Care,Newborn Care,,Misc,N/A,,,,,,,,,,,
,,,JIB_Postnatal Care,Postnatal Care,,Misc,N/A,,,,,,,,,,,
,,,JIB_Immunization,Immunization,,Misc,N/A,,,,,,,,,,,
,,,JIB_Education Topic,Education Topic,,Question,Coded,,JIB_Prenatal Care; JIB_Prevention; JIB_Dangerous Signs; JIB_Delivery Planning; JIB_Breast Feeding; JIB_Newborn Care ; JIB_Postnatal Care; JIB_Immunization; ,,,,,,,,,
,,,JIB_Followup Appointment Date,Followup Appointment Date,,Question,Date,,,,,,,,,,,
,,,JIB_ANC Notes,Notes [give mebendazole after 1st trimester - do not give albendazole during pregnancy],,Question,Text,,,,,,,,,,,
,,,JIB_ANC Visit Form,ANC - Visit,,ConvSet,N/A,,,JIB_ANC Visit Number; JIB_Gestation; JIB_ANC_Symptoms; JIB_Fetal Pulse; JIB_Stomach_Diameter;JIB_Height Of Uterus; JIB_Presenting Part; JIB_Other ANC Problems; JIB_Education Topic; JIB_Followup Appointment Date; JIB_ANC Notes;,,,,,,,,
