Uuid,Same as mappings,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
,,,JIB_Pregnancy Number,Number of Pregnancies incl. miscarriages/abortions,,Question,Numeric,,,,,,,,0,,,
,,,JIB_Abortions,Miscarriages/Abortions (surviving <28wk OR weight <1kg),,Question,Numeric,,,,,,,,0,,,
,,,JIB_Newborn Survived,"Children surviving >28wk OR weight >1kg (incl. living children, miscarriages after 28wk/1kg)",,Question,Numeric,,,,,,,,0,,,
,,,JIB_Living Children,Living Children,,Question,Numeric,,,,,,,,0,,,
,,,JIB_Date of Last Delivery,Date of last delivery,,Question,Date,,,,,,,,,,,
,,,JIB_Date of Last Menstrual Period,Date of last menstrual period,,Question,Date,,,,,,,,,,,
,,,JIB_Expected Due Date,Estimated due date,,Question,Date,,,,,,,,,,,
,,,JIB_Preg blood glucose,low/high blood glucose,,Misc,N/A,,,,,,,,,,,
,,,JIB_Preg hypertension,hypertension,,Misc,N/A,,,,,,,,,,,
,,,JIB_Preg edema,peripheral edema,,Misc,N/A,,,,,,,,,,,
,,,JIB_Preg bleeding,vaginal bleeding,,Misc,N/A,,,,,,,,,,,
,,,JIB_Preg discharge,vaginal discharge,,Misc,N/A,,,,,,,,,,,
,,,JIB_Preg abdominal pain,abdominal pain,,Misc,N/A,,,,,,,,,,,
,,,JIB_Problems During Last Pregnancy,Significant Problems During Last Pregnancy,,Question,Coded,,JIB_Preg blood glucose;JIB_Preg hypertension;JIB_Preg edema;JIB_Preg bleeding;JIB_Preg discharge;JIB_Preg abdominal pain;,,,,,,,,,
,,,JIB_Problems During Last Pregnancy Details,Significant Problems During Last Pregnancy Details,,Question,Text,,,,,,,,,,,
,,,JIB_Problems During Last Pregnancy Set,Significant Problems During Last Pregnancy,,ConvSet,N/A,,,JIB_Problems During Last Pregnancy; JIB_Problems During Last Pregnancy Details,,,,,,,,
,,,JIB_Problems During Last Delivery,Significant Problems During Last Delivery,,Question,Boolean,,,,,,,,,,,
,,,JIB_Problems During Last Delivery Details,Significant Problems During Last Delivery Details,,Question,Text,,,,,,,,,,,
,,,JIB_Problems During Last Delivery Set,Significant Problems During Last Delivery,,ConvSet,N/A,,,JIB_Problems During Last Delivery; JIB_Problems During Last Delivery Details,,,,,,,,
,,,JIB_Previous Caesarean Section,Previous Caesarean Section,,Question,Boolean,,,,,,,,,,,
,,,JIB_Previous Caesarean Section Details,Previous Caesarean Section Details,,Question,Text,,,,,,,,,,,
,,,JIB_Previous Caesarean Section Set,Previous Caesarean Section,,ConvSet,N/A,,,JIB_Previous Caesarean Section; JIB_Previous Caesarean Section Details,,,,,,,,
,,,JIB_ANC Obstetric History Form,ANC - Obstetric History,,ConvSet,N/A,,,JIB_Pregnancy Number; JIB_Abortions; JIB_Newborn Survived; JIB_Living Children; JIB_Date of Last Delivery; JIB_Date of Last Menstrual Period; JIB_Expected Due Date; JIB_Previous Caesarean Section Set; JIB_Problems During Last Pregnancy Set; JIB_Problems During Last Delivery Set; JIB_Pregnant Women Immunizations Set,,,,,,,,
