Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
,,,JIB_Postpartum,Post partum/abortion,,Misc,N/A,,,,,,,,,,,
,,,JIB_HIV,HIV-AIDS client ,,Misc,N/A,,,,,,,,,,,
,,,JIB_Acceptor,Birth Spacing type,,Question,Coded,,JIB_Postpartum;JIB_HIV;,,,,,,,,,
,,,JIB_COC,Combined Oral Contraceptive - COC,,Misc,N/A,,,,,Pills,,,0,,,
,,,JIB_POP,Progesterone Only Pills - POP,,Misc,N/A,,,,,Pills,,,0,,,
,,,JIB_Injections,Injections,,Misc,N/A,,,,,Doses,,,0,,,
,,,JIB_Condoms,Condoms,,Misc,N/A,,,,,Units,,,0,,,
,,,JIB_Femidoms,Femidoms,,Misc,N/A,,,,,Units,,,0,,,
,,,JIB_IUD,Intra-Uterus Devices - IUD,,Misc,N/A,,,,,Units,,,0,,,
,,,JIB_Implants,Implants,,Misc,N/A,,,,,Units,,,0,,,
,,,JIB_Stopped Contraception,Stopped using contraception this month?,,Question,Boolean,,,,,,,,,,,
,,,JIB_Vasectomy,Vasectomy (husband),,Misc,N/A,,,,,,,,,,,
,,,JIB_Tubectomy,Tubectomy,,Misc,N/A,,,,,,,,,,,
,,,JIB_Contraceptives Past,Contraceptives Past,,Question,Coded,,JIB_COC; JIB_POP; JIB_Injections; JIB_Condoms; JIB_Femidoms; JIB_IUD; JIB_Implants; ,,,,,,,,,
,,,JIB_Contraceptives Present,Contraceptives Present,,Question,Coded,,JIB_COC; JIB_POP; JIB_Injections; JIB_Condoms; JIB_Femidoms; JIB_IUD; JIB_Implants; ,,,,,,,,,
,,,JIB_Contraceptives Received,Contraceptives Received,,Question,Coded,,JIB_COC; JIB_POP; JIB_Injections; JIB_Condoms; JIB_Femidoms; JIB_IUD; JIB_Implants; ,,,,,,,,,
,,,JIB_Birth Spacing,Birth Spacing,,Misc,N/A,,,,,,,,,,,
,,,JIB_ECP,Emergency Contraception Pill(ECP),,Misc,N/A,,,,,,,,,,,
,,,JIB_Contraceptive Education,Education Topic,,Question,Coded,,JIB_Birth Spacing; JIB_ECP;,,,,,,,,,
,,,JIB_Birth Spacing Notes,Birth Spacing Notes,,Question,Text,,,,,,,,,,,
,,,JIB_Birth Spacing Form,Birth Spacing,Birth Spacing,ConvSet,N/A,,,JIB_Acceptor; JIB_Stopped Contraception;JIB_Contraceptives Past; JIB_Contraceptives Present; JIB_Contraceptives Received; JIB_Contraceptive Education; JIB_Birth Spacing Notes;,,,,,,,,
