Uuid,Same as mappings,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
,,,JIB_Chief Complaint,Unused Chief Complaint,,Misc,Text,,,,,,,,,,,
,,,JIB_CD stool/urine normal,stool/urine normal,,Misc,N/A,,,,,,,,,,,
,,,JIB_CD appetite normal,good appetite,,Misc,N/A,,,,,,,,,,,
,,,JIB_No Dysuria,no dysuria,,Misc,N/A,,,,,,,,,,,
,,,JIB_No Nausea/Vomiting,no nausea/vomiting,,Misc,N/A,,,,,,,,,,,
,,,JIB_No Fever,no fever,,Misc,N/A,,,,,,,,,,,
,,,JIB_No Diarrhea,no diarrhea,,Misc,N/A,,,,,,,,,,,
,,,JIB_Complaint Desc common,Notes,,Question,Coded,,JIB_CD stool/urine normal; JIB_CD appetite normal;JIB_No Fever; JIB_No Nausea/Vomiting;JIB_No Diarrhea; JIB_No Dysuria;,,,,,,,,,
,,,JIB_History of Present Illness,History of Present Illness,,Misc,Text,,,,,,,,,,,
,,,JIB_Progress Note,Progress Note,,Misc,Text,,,,,,,,,,,
,,,JIB_New Case,New case of complaint?,,Question,Boolean,,,,,,,,,,,
c59a235b-606c-43dc-8d4a-b2f772da450b,,,JIB_Chief Complaint Form,Chief Complaint Form,,ConvSet,N/A,,,Chief Complaint; JIB_History of Present Illness; JIB_New Case,,,,,,,,
,,,JIB_Chills,chills,,Misc,N/A,,,,,,,,,,,
,,,JIB_Weakness,weakness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Weight Loss,weight loss,,Misc,N/A,,,,,,,,,,,
,,,JIB_Other General Symptoms,General Details,,Misc,Text,,,,,,,,,,,
,,,JIB_General Symptoms,GENERAL Symptoms,,Question,Coded,,JIB_Normal; JIB_Fever; JIB_Chills; JIB_Weakness; JIB_Weight Loss; ,,,,,,,,,
,,,JIB_Sore Throat,sore throat,,Misc,N/A,,,,,,,,,,,
,,,JIB_Sinus Drainage,runny nose,,Misc,N/A,,,,,,,,,,,
,,,JIB_Earache or Drainage,earache/drainage,,Misc,N/A,,,,,,,,,,,
,,,JIB_Blurred Vision,blurred vision,,Misc,N/A,,,,,,,,,,,
,,,JIB_HEENT Symptoms,HEENT Symptoms,,Question,Coded,,JIB_Normal; JIB_Sore Throat; JIB_Sinus Drainage; JIB_Earache or Drainage; JIB_Blurred Vision; ,,,,,,,,,
,,,JIB_Chest Pain,chest pain,,Misc,N/A,,,,,,,,,,,
,,,JIB_Palpitations,palpitations,,Misc,N/A,,,,,,,,,,,
,,,JIB_Irregular Heart Rate,irregular heartrate,,Misc,N/A,,,,,,,,,,,
,,,JIB_PND,PND,,Misc,N/A,,,,,,,,,,,
,,,JIB_Cardiovascular Symptoms,CARDIOVASCULAR Symptoms,,Question,Coded,,JIB_Normal; JIB_Chest Pain; JIB_Palpitations; JIB_Irregular Heart Rate; JIB_PND; ,,,,,,,,,
,,,JIB_Cough,cough,,Misc,N/A,,,,,,,,,,,
,,,JIB_Dyspnea,dyspnea,,Misc,N/A,,,,,,,,,,,
,,,JIB_Wheezing,wheezing,,Misc,N/A,,,,,,,,,,,
,,,JIB_Hemoptysis,hemoptysis,,Misc,N/A,,,,,,,,,,,
,,,JIB_Other Respiratory Symptoms,Other Respiratory Symptoms,,Misc,Text,,,,,,,,,,,
,,,JIB_Respiratory Symptoms,CHEST/LUNG Symptoms,,Question,Coded,,JIB_Normal; JIB_Cough; JIB_Dyspnea; JIB_Wheezing; JIB_Hemoptysis; ,,,,,,,,,
,,,JIB_Nausea,nausea,,Misc,N/A,,,,,,,,,,,
,,,JIB_Vomiting,vomiting,,Misc,N/A,,,,,,,,,,,
,,,JIB_Abdominal pain,abdominal pain,,Misc,N/A,,,,,,,,,,,
,,,JIB_Abdominal swelling,abdominal swelling,,Misc,N/A,,,,,,,,,,,
,,,JIB_Simple Diarrhea,simple diarrhea (< 10 per day),,Misc,N/A,,,,,,,,,,,
,,,JIB_Severe Diarrhea,severe diarrhea (10+ per day),,Misc,N/A,,,,,,,,,,,
,,,JIB_Bloody Diarrhea,bloody diarrhea,,Misc,N/A,,,,,,,,,,,
,,,JIB_Mucus in Diarrhea,mucus in diarrhea,,Misc,N/A,,,,,,,,,,,
,,,JIB_Gastrointestinal Symptoms,ABDOMEN Symptoms,,Question,Coded,,JIB_Normal; JIB_Nausea; JIB_Vomiting; JIB_Abdominal pain; JIB_Abdominal swelling; JIB_Simple Diarrhea; JIB_Severe Diarrhea; JIB_Bloody Diarrhea; JIB_Mucus in Diarrhea; ,,,,,,,,,
,,,JIB_Dysuria,dysuria,,Misc,N/A,,,,,,,,,,,
,,,JIB_Frequency of Urinate,frequent urination,,Misc,N/A,,,,,,,,,,,
,,,JIB_Hematuria,hematuria,,Misc,N/A,,,,,,,,,,,
,,,JIB_Incontinence,incontinence,,Misc,N/A,,,,,,,,,,,
,,,JIB_Vaginal Discharge,vaginal discharge,,Misc,N/A,,,,,,,,,,,
,,,JIB_Hernia or Hydrocoele,hernia/hydrocoele,,Misc,N/A,,,,,,,,,,,
,,,JIB_Other GU Symptoms,Other GU Symptoms,,Misc,Text,,,,,,,,,,,
,,,JIB_Genitourinary Female Symptoms,GENITOURINARY Symptoms (F),,Question,Coded,,JIB_Normal; JIB_Dysuria; JIB_Frequency of Urinate; JIB_Hematuria; JIB_Incontinence; JIB_Vaginal Discharge; JIB_Vaginal Bleeding; JIB_Hernia or Hydrocoele; ,,,,,,,,,
,,,JIB_Genitourinary Male Symptoms,GENITOURINARY Symptoms (M),,Question,Coded,,JIB_Normal; JIB_Dysuria; JIB_Frequency of Urinate; JIB_Hematuria; JIB_Incontinence; JIB_Hernia or Hydrocoele; ,,,,,,,,,
,,,JIB_Headaches,headaches,,Misc,N/A,,,,,,,,,,,
,,,JIB_Vertigo,vertigo,,Misc,N/A,,,,,,,,,,,
,,,JIB_Seizures,seizures,,Misc,N/A,,,,,,,,,,,
