Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Members,_version:1,_order:5010
,,ICD 10 - WHO:A1814,Tuberculosis of prostate (A1814),Tuberculosis of prostate,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:C9150,Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remission (C9150),Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remission,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:C9151,"Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remission (C9151)","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remission",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:C9152,"Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse (C9152)","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F0150,Vascular dementia without behavioral disturbance (F0150),Vascular dementia without behavioral disturbance,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F0151,Vascular dementia with behavioral disturbance (F0151),Vascular dementia with behavioral disturbance,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F0390,Unspecified dementia without behavioral disturbance (F0390),Unspecified dementia without behavioral disturbance,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F0391,Unspecified dementia with behavioral disturbance (F0391),Unspecified dementia with behavioral disturbance,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:F69,Unspecified disorder of adult personality and behavior (F69),Unspecified disorder of adult personality and behavior,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G112,Late-onset cerebellar ataxia (G112),Late-onset cerebellar ataxia,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G1221,Amyotrophic lateral sclerosis (G1221),Amyotrophic lateral sclerosis,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G301,Alzheimer's disease with late onset (G301),Alzheimer's disease with late onset,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G451,Carotid artery syndrome (hemispheric) (G451),Carotid artery syndrome (hemispheric),,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G452,Multiple and bilateral precerebral artery syndromes (G452),Multiple and bilateral precerebral artery syndromes,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G458,Oth transient cerebral ischemic attacks and related synd (G458),Oth transient cerebral ischemic attacks and related synd,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G459,"Transient cerebral ischemic attack, unspecified (G459)","Transient cerebral ischemic attack, unspecified",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G460,Middle cerebral artery syndrome (G460),Middle cerebral artery syndrome,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G461,Anterior cerebral artery syndrome (G461),Anterior cerebral artery syndrome,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:G462,Posterior cerebral artery syndrome (G462),Posterior cerebral artery syndrome,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02031,Senile entropion of right upper eyelid (H02031),Senile entropion of right upper eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02032,Senile entropion of right lower eyelid (H02032),Senile entropion of right lower eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02033,"Senile entropion of right eye, unspecified eyelid (H02033)","Senile entropion of right eye, unspecified eyelid",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02034,Senile entropion of left upper eyelid (H02034),Senile entropion of left upper eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02035,Senile entropion of left lower eyelid (H02035),Senile entropion of left lower eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02036,"Senile entropion of left eye, unspecified eyelid (H02036)","Senile entropion of left eye, unspecified eyelid",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02039,"Senile entropion of unspecified eye, unspecified eyelid (H02039)","Senile entropion of unspecified eye, unspecified eyelid",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02131,Senile ectropion of right upper eyelid (H02131),Senile ectropion of right upper eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02132,Senile ectropion of right lower eyelid (H02132),Senile ectropion of right lower eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02133,"Senile ectropion of right eye, unspecified eyelid (H02133)","Senile ectropion of right eye, unspecified eyelid",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02134,Senile ectropion of left upper eyelid (H02134),Senile ectropion of left upper eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02135,Senile ectropion of left lower eyelid (H02135),Senile ectropion of left lower eyelid,,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02136,"Senile ectropion of left eye, unspecified eyelid (H02136)","Senile ectropion of left eye, unspecified eyelid",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H02139,"Senile ectropion of unspecified eye, unspecified eyelid (H02139)","Senile ectropion of unspecified eye, unspecified eyelid",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25011,"Cortical age-related cataract, right eye (H25011)","Cortical age-related cataract, right eye",,Diagnosis,N/A,,,,
,,ICD 10 - WHO:H25012,"Cortical age-related cataract, left eye (H25012)","Cortical age-related cataract, left eye",,Diagnosis,N/A,,,,
