Uuid,Same as mappings,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
,,,JIB_Other Medical History,other illness/injury,,Misc,N/A,,,,,,,,,,,
,,,JIB_Headache,headache,,Misc,N/A,,,,,,,,,,,
,,,JIB_Seizure,seizure,,Misc,N/A,,,,,,,,,,,
,,,JIB_Heart Disease,heart disease,,Misc,N/A,,,,,,,,,,,
,,,JIB_Hypertension,hypertension,,Misc,N/A,,,,,,,,,,,
,,,JIB_COPD,COPD,,Misc,N/A,,,,,,,,,,,
,,,JIB_Asthma,asthma,,Misc,N/A,,,,,,,,,,,
,,,JIB_Diabetes,diabetes,,Misc,N/A,,,,,,,,,,,
,,,JIB_UTI,UTI,,Misc,N/A,,,,,,,,,,,
,,,JIB_Kidney Stones,kidney stones,,Misc,N/A,,,,,,,,,,,
,,,JIB_Ulcer,ulcer,,Misc,N/A,,,,,,,,,,,
,,,JIB_GERD,GERD,,Misc,N/A,,,,,,,,,,,
,,,JIB_Depression,depression,,Misc,N/A,,,,,,,,,,,
,,,JIB_Cancer,cancer,,Misc,N/A,,,,,,,,,,,
,,,JIB_Past Cancer Details,"Cancer: describe date, location and type",,Question,Text,,,,,,,,,,,
,,,JIB_Past Medical History Details,Past Medical History Details,,Question,Text,,,,,,,,,,,
,,,JIB_Past Surgical History,Past Surgical History,,Question,Text,,,,,,,,,,,
,,,JIB_Family History,Family History,,Question,Text,,,,,,,,,,,
,,,JIB_Social History,Social History,,Question,Text,,,,,,,,,,,
,,,JIB_List Medications,List Medications,,Question,Text,,,,,,,,,,,
,,,JIB_Past Medical History,Past Medical History,,Question,Coded,,JIB_Headache; JIB_Seizure; JIB_Heart Disease; JIB_Hypertension; JIB_COPD; JIB_Asthma; JIB_Diabetes; JIB_UTI; JIB_Kidney Stones; JIB_Ulcer; JIB_GERD; JIB_Depression; JIB_Cancer; JIB_Other Medical History,,,,,,,,,
,,,JIB_History Form,History,,ConvSet,N/A,,,JIB_Past Medical History; JIB_Past Cancer Details; JIB_Past Medical History Details; JIB_Past Surgical History; JIB_Allergies; JIB_List medications; JIB_Social History; JIB_Newborn Immunizations Set; JIB_Child Immunizations Set; JIB_Pregnant Women Immunizations Set;,,,,,,,,
