Uuid,Same as mappings,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1250
,,,JIB_HBN,Health Book Number,,Question,Text,,,,,,,,,,,
,,,JIB_Date of Delivery,Date of delivery,,Question,Date,,,,,,,,,,,
,,,JIB_Health Centre,Health Centre,,Misc,N/A,,,,,,,,,,,
,,,JIB_Hospital,Hospital,,Misc,N/A,,,,,,,,,,,
,,,JIB_Private Clinic,Private Clinic,,Misc,N/A,,,,,,,,,,,
,,,JIB_Home,Home,,Misc,N/A,,,,,,,,,,,
,,,JIB_Delivery Place Other,Other,,Misc,N/A,,,,,,,,,,,
,,,JIB_Place of Delivery,Place of Delivery,,Question,Coded,,JIB_Health Centre;JIB_Hospital;JIB_Private Clinic;JIB_Home;JIB_Delivery Place Other;,,,,,,,,,
,,,JIB_Normal Delivery,Normal Delivery,,Misc,N/A,,,,,,,,,,,
,,,JIB_Caesarean,Caesarean,,Misc,N/A,,,,,,,,,,,
,,,JIB_Suction,Suction,,Misc,N/A,,,,,,,,,,,
,,,JIB_Delivery Type Other,Other,,Misc,N/A,,,,,,,,,,,
,,,JIB_Delivered By,Delivered By,,Question,Coded,,JIB_Normal Delivery;JIB_Caesarean;JIB_Suction;JIB_Delivery Type Other,,,,,,,,,
,,,JIB_Newborn Sex,Newborn Female/Male,,Question,Coded,,Female;Male;,,,,,,,,,
,,,JIB_Newborn Weight,Newborn Weight ,,Question,Numeric,,,,,g,,,0,,,
,,,JIB_PNC Mother,Mother,,Misc,N/A,,,,,,,,,,,
,,,JIB_PNC Newborn,Newborn,,Misc,N/A,,,,,,,,,,,
,,,JIB_PNC Problems During Delivery,Significant Problems During Delivery,,Question,Coded,,JIB_PNC Mother;JIB_PNC Newborn;,,,,,,,,,
,,,JIB_PNC Problems During Delivery Details,Significant Problems During Delivery Details,,Question,Text,,,,,,,,,,,
,,,JIB_PNC First Visit,PNC 1st Visit?,,Question,Boolean,,,,,,,,,,,
,,,JIB_Maternal Treatment,Maternal Complication/Treatment,,Misc,N/A,,,,,,,,,,,
,,,JIB_Maternal Iron Folic,Iron/Folic acid tablets (42 or 28 for therapeutic),,Misc,N/A,,,,,,,,,,,
,,,JIB_Maternal Mebendazole,Mebendazole 500 mg,,Misc,N/A,,,,,,,,,,,
,,,JIB_Maternal Tetanus,Tetanus (1-5 or completed),,Misc,N/A,,,,,,,,,,,
,,,JIB_Maternal Care,Maternal Care,,Question,Coded,,JIB_Maternal Treatment;JIB_Maternal Iron Folic;JIB_Maternal Mebendazole;JIB_Maternal Tetanus;,,,,,,,,,
,,,JIB_Neonatal Infertility,Infertility Signs/Treatment,,Misc,N/A,,,,,,,,,,,
,,,JIB_Neonatal Breastfeeding,Breastfeeding Check (lactation/feeding conditions),,Misc,N/A,,,,,,,,,,,
,,,JIB_Neonatal Vaccination 1st Visit,"Vac.1st Visit (BCG, Hep B...other)",,Misc,N/A,,,,,,,,,,,
,,,JIB_Neonatal Vaccination Extra Visits,Vac. Extra Visit (OPV.DPT..other),,Misc,N/A,,,,,,,,,,,
,,,JIB_Neonatal Care,Neonatal Care,,Question,Coded,,JIB_Neonatal Infertility;JIB_Neonatal Breastfeeding;JIB_Neonatal Vaccination 1st Visit;JIB_Neonatal Vaccination Extra Visits;,,,,,,,,,
,,,JIB_Counselling Hygiene,Hygiene & Nutrition,,Misc,N/A,,,,,,,,,,,
,,,JIB_Counselling Breastfeeding,Breastfeeding,,Misc,N/A,,,,,,,,,,,
,,,JIB_Counselling Nursing,Nursing Care (Newborn),,Misc,N/A,,,,,,,,,,,
,,,JIB_Counselling Emergency,Emergency Signs & Preparedness,,Misc,N/A,,,,,,,,,,,
,,,JIB_Counselling Contraception,Contraception,,Misc,N/A,,,,,,,,,,,
,,,JIB_Counselling Healthcare,Maternal & Newborn Healthcare,,Misc,N/A,,,,,,,,,,,
,,,JIB_Counselling,Education Topic,,Question,Coded,,JIB_Counselling Hygiene;JIB_Counselling Breastfeeding;JIB_Counselling Nursing;JIB_Counselling Emergency;JIB_Counselling Contraception;JIB_Counselling Healthcare;,,,,,,,,,
,,,JIB_PNC Notes,PNC Notes,,Question,Text,,,,,,,,,,,
,,,JIB_PNC Next Appointment,Followup Appointment Date,,Question,Date,,,,,,,,,,,
,,,JIB_PNC Service Charges,Types of service charges,,Question,Text,,,,,,,,,,,
,,,JIB_PNC Form,PNC - Visit,Postnatal Care,ConvSet,N/A,,,JIB_HBN;JIB_Date of Delivery;JIB_Place of Delivery;JIB_Delivered By;JIB_Newborn Sex;JIB_Newborn Weight;JIB_PNC_Problems During Delivery;JIB_PNC_Problems During Delivery Details;JIB_PNC_First Visit;JIB_Maternal Care;JIB_Neonatal Care;JIB_Counselling;JIB_PNC Notes;JIB_PNC Next Appointment; JIB_Referred To;JIB_PNC Service Charges;,,,,,,,,
